CTabLayoutUI                    	tabselect              		调用SelectItem选择了某一项时通知。
CActiveXUI                    		showactivex         		创建完成后，显示时通知。
CCombUI                      		itemselect           		调用SelectItem选择改变时通知。
CCombUI                       		dropdown            		调用Activate时通知。
CButtonUI                      		menu                 		当按钮的事件类型为，VIEWENT_CONTEXTMENU即上下文菜单时通知。
CButtonUI                      		click                     	按钮激活时通知。
COptonUI                      		selectchanged                 	当调用Selected，选择项更改后通知。
CTextUI                          	link                      	暂未知
CliderUI                         	valuechanged             	当鼠标按钮弹起时通知。
CEditWnd                      		return                  	当按下回车按键后通知。
CEditWnd                      		textchanged                  	当文本改变时通知。
CScrollbarUI                  		scroll                    	当双击或单击滚动条时通知。
CControlUI                    		timer                    	定时器触发通知。
CControlUI                    		menu                   		上下文菜单通知。
CListUI                           	itemselect           		当选择更改时通知。
CListUI                           	headerclick         		当单击列表的头(column header)时通知。
CListUI                           	itemactivate       		当某一项激活时，通知。
CListUI                                 itemclick               	当单击某一项时通知。
CListTextElementUI                      link                        	未知。
CListContainerElementUI            	itemactivate          		激活事件。
CListContainerElementUI            	itemclick                	当单击左键或右键时通知。
CPaintManagerUI                         windowinit            		WM_PAINT消息响应时，若为第一个布局，则通知。
CPaintManagerUI                         killfocus                  	(设置焦点时，若设置的控件指针为空，则不再是焦点窗口)失去焦点时通知。
CPaintManagerUI                        	setfocus                  	设置焦点时通知。
CRitchEditUI                            return                     	输入回车键时通知。
ColorPaletteUI				colorchanged			调色板选取颜色发生变化
CSliderUI				movevaluechanged		滑动条滑动过程发出值变化的消息
CSliderUI				valuechanged			滑动条鼠标点击结束或滚动条移动结束后发出值变化的消息
